                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5705,                 2.1581,                 1.8036,                0.67235,                0.11667,                0.11884,                0.05956,                 2.3193,                 3.6185,                 3.0088,             0.00055467,             0.00055467,             0.00055467
                      2,                 1.6993,                  2.175,                 1.9295,                0.23301,                0.14849,                0.09283,                0.04412,                 2.2969,                 3.9125,                 2.7328,              0.0010884,              0.0010884,              0.0010884
                      3,                 1.5735,                 2.0314,                  1.814,                0.42425,                 0.2273,                0.22745,                0.12322,                 1.9736,                  2.806,                 2.4134,                 0.0016,                 0.0016,                 0.0016
                      4,                 1.4958,                 1.8938,                 1.7489,                0.33413,                0.40668,                0.32524,                0.16556,                 1.8056,                 2.1225,                 2.1004,               0.001568,               0.001568,               0.001568
                      5,                 1.4154,                 1.7403,                 1.6808,                0.33313,                0.41912,                0.31958,                0.16118,                 1.7043,                 2.1581,                 2.0755,               0.001535,               0.001535,               0.001535
                      6,                 1.3557,                 1.6236,                 1.6304,                0.41022,                0.44355,                0.39074,                0.20185,                 1.6231,                 1.8851,                 1.9612,               0.001502,               0.001502,               0.001502
                      7,                 1.3084,                 1.5567,                 1.6013,                 0.4621,                0.49629,                0.43901,                0.24153,                 1.5093,                 1.8457,                 1.8954,               0.001469,               0.001469,               0.001469
                      8,                 1.2736,                 1.4719,                 1.5678,                0.56257,                 0.4783,                0.46987,                0.25544,                 1.5092,                 1.7267,                 1.8696,               0.001436,               0.001436,               0.001436
                      9,                 1.2263,                 1.4161,                 1.5312,                0.51662,                0.47299,                0.48004,                0.25546,                 1.5359,                 1.7541,                 1.8759,              0.0014029,              0.0014029,              0.0014029
                     10,                  1.195,                  1.357,                 1.5014,                0.50041,                0.56958,                0.50275,                0.28336,                 1.4414,                 1.6519,                 1.7797,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.1933,                  1.333,                 1.4982,                0.53162,                0.57473,                0.51444,                0.30085,                  1.376,                 1.5866,                 1.7201,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.1624,                 1.2859,                 1.4783,                0.60178,                0.50083,                 0.5326,                0.28758,                 1.4621,                 1.6487,                 1.7937,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.1483,                 1.2356,                 1.4627,                0.55884,                0.54043,                0.55686,                0.30926,                  1.359,                 1.4909,                 1.6943,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.1297,                 1.2114,                 1.4405,                0.65166,                0.56582,                0.64406,                0.37164,                 1.3668,                 1.4391,                 1.7061,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.1062,                 1.1716,                 1.4308,                0.58739,                0.58684,                0.60608,                0.33451,                 1.3682,                 1.4586,                 1.7009,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.0874,                 1.1314,                  1.412,                0.70951,                 0.5753,                0.66389,                0.37241,                 1.3488,                 1.3888,                 1.6871,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.0736,                 1.1045,                 1.4015,                0.67637,                0.67867,                0.71545,                0.40985,                 1.2797,                 1.2926,                 1.6216,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.0705,                 1.0997,                 1.4034,                0.74675,                0.61358,                0.71626,                 0.4147,                 1.2903,                 1.2409,                 1.6248,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.0477,                 1.0886,                  1.388,                0.56292,                0.62738,                0.63592,                0.36455,                 1.2857,                 1.4138,                 1.6456,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.0589,                 1.0684,                 1.3914,                0.75424,                0.66782,                0.76117,                0.46132,                 1.2555,                 1.1941,                  1.599,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.0396,                 1.0176,                 1.3808,                0.69412,                0.63118,                0.73705,                0.43063,                 1.2628,                 1.2222,                 1.6111,              0.0010069,              0.0010069,              0.0010069
                     22,                  1.028,                 1.0002,                 1.3737,                0.75294,                0.65641,                0.74962,                0.46991,                 1.2388,                 1.1455,                 1.5688,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.0218,                 1.0068,                 1.3595,                0.70875,                0.69464,                0.75091,                0.45011,                 1.1884,                 1.1705,                 1.5395,             0.00094085,             0.00094085,             0.00094085
                     24,                0.98948,                0.98575,                 1.3487,                0.80183,                0.66303,                0.77847,                0.47354,                 1.1996,                 1.1869,                 1.5559,             0.00090785,             0.00090785,             0.00090785
                     25,                0.97475,                0.95165,                 1.3323,                0.69849,                0.75885,                0.80707,                0.50642,                 1.1316,                 1.0863,                 1.4939,             0.00087484,             0.00087484,             0.00087484
                     26,                0.98019,                0.91758,                 1.3318,                0.74533,                0.68839,                0.80292,                0.50446,                 1.1794,                 1.0692,                 1.5344,             0.00084184,             0.00084184,             0.00084184
                     27,                0.96446,                0.91461,                 1.3241,                0.82292,                0.65138,                0.79216,                0.48796,                  1.158,                 1.0861,                 1.5029,             0.00080883,             0.00080883,             0.00080883
                     28,                0.97551,                0.91369,                 1.3262,                0.81894,                0.75886,                0.83153,                0.51135,                 1.1828,                 1.0264,                 1.5221,             0.00077582,             0.00077582,             0.00077582
                     29,                0.95348,                0.89154,                 1.3141,                 0.7608,                0.72411,                0.80984,                0.50721,                 1.1857,                 1.0575,                 1.5186,             0.00074282,             0.00074282,             0.00074282
                     30,                 0.9392,                0.87994,                 1.3057,                0.83971,                0.69258,                0.82622,                0.53495,                 1.1049,                  1.001,                 1.4632,             0.00070981,             0.00070981,             0.00070981
                     31,                0.92808,                0.84233,                 1.2953,                0.82276,                0.73954,                0.83058,                0.50657,                 1.1713,                 1.0117,                 1.5175,              0.0006768,              0.0006768,              0.0006768
                     32,                0.93474,                0.85278,                 1.2971,                0.81487,                0.71009,                0.81568,                0.52122,                 1.1091,                0.99521,                 1.4573,              0.0006438,              0.0006438,              0.0006438
                     33,                0.90477,                0.82086,                 1.2755,                 0.7958,                0.72403,                0.82615,                0.52555,                 1.1082,                 1.0111,                 1.4638,             0.00061079,             0.00061079,             0.00061079
                     34,                 0.8929,                0.80991,                 1.2653,                0.83537,                0.77227,                0.85927,                0.54991,                 1.1421,                0.96757,                  1.488,             0.00057778,             0.00057778,             0.00057778
                     35,                0.90643,                0.81064,                 1.2707,                0.80309,                0.73954,                0.84532,                0.56293,                 1.0912,                0.92494,                 1.4258,             0.00054478,             0.00054478,             0.00054478
                     36,                0.88939,                0.79029,                 1.2685,                 0.8056,                0.80887,                0.87244,                0.56747,                 1.1034,                0.88758,                 1.4512,             0.00051177,             0.00051177,             0.00051177
                     37,                 0.8852,                0.77576,                 1.2567,                0.85901,                 0.7555,                0.87457,                0.56715,                 1.1197,                0.88832,                 1.4677,             0.00047876,             0.00047876,             0.00047876
                     38,                0.87328,                0.76472,                  1.244,                0.78087,                0.83128,                0.87691,                0.57312,                 1.0634,                0.89484,                 1.4214,             0.00044576,             0.00044576,             0.00044576
                     39,                0.86625,                 0.7581,                 1.2486,                0.85214,                0.77466,                0.87602,                0.56367,                 1.1139,                0.88965,                  1.471,             0.00041275,             0.00041275,             0.00041275
                     40,                0.85747,                0.74077,                 1.2351,                0.84397,                0.82039,                0.88914,                0.57979,                 1.0757,                0.85973,                 1.4125,             0.00037974,             0.00037974,             0.00037974
                     41,                0.82592,                0.61784,                 1.2352,                0.85319,                0.80567,                0.88885,                0.59617,                 1.0751,                0.82481,                 1.4395,             0.00034674,             0.00034674,             0.00034674
